Timestamp;TA1;TA2;TA3;TA4;TA5;TB1;TB2;TB3;TB4;TB5;TC1;TC2;TC3;TC4;TC5;TD1;PZ;PX;FLLR1;FLHR1;XV;ZV;AV;VS;HT;ST;SP1;PC
2024-05-23-09:35:10.969;1372;451;483;497;460;489;460;464;512;1372;1372;1372;1372;1372;1372;1372;50,77117675958863;2661,0018631521607;0,1894286870956421;-0,314338684;0,000727694;-1,602044821;0;Off;-1;-1;-399,1516113;7451,120605
2024-05-23-09:35:11.969;1372;452;492;498;465;492;463;464;513;1372;1372;1372;1372;1372;1372;1372;49,171249928101474;2661,0018406805134;0,180822492;-0,302131653;-0,000942776;-1,600749731;0;Off;-1;-1;-380,2911377;8201,611328
2024-05-23-09:35:12.969;1372;452;491;498;473;495;466;467;513;1372;1372;1372;1372;1372;1372;1372;47,571152309465106;2661,0018631521607;0,164830744;-0,259407043;0,000152788;-1,600543022;0;Off;-1;-1;-354,5335083;7414,585938
2024-05-23-09:35:13.969;1372;449;493;498;479;497;469;467;513;1372;1372;1372;1372;1372;1372;1372;45,97119515;2661,0018406805134;0,1476183533668518;-0,454727173;-0,001192775;-1,602400661;0;Off;-1;-1;-320,9020996;7457,717285
2024-05-23-09:35:14.969;1372;452;495;498;483;498;472;470;513;1372;1372;1372;1372;1372;1372;1372;44,37125555066811;2661,0018631521607;0,14273536205291748;-0,265510559;0,000829885;-1,598483086;0;Off;-1;-1;-292,2757568;7433,868164
2024-05-23-09:35:15.969;1372;452;495;499;484;499;474;472;513;1372;1372;1372;1372;1372;1372;1372;42,771183470297046;2661,0018631521607;0,1396225094795227;-0,241096497;0,000791404;-1,599671721;0;Off;-1;-1;-265,0532837;7413,570801
2024-05-23-09:35:16.969;1372;452;495;498;485;500;475;473;513;1372;1372;1372;1372;1372;1372;1372;41,171257436880694;2661,0018631521607;0,13663166761398315;-0,253303528;0,001060718;-1,60019803;0;Off;-1;-1;-243,0189209;8201,611328
2024-05-23-09:35:17.969;1372;452;495;499;486;504;476;474;508;1372;1372;1372;1372;1372;1372;1372;39,571269952013466;2661,0018406805134;0,13339674472808838;-0,259407043;-0,001049831;-1,593595147;0;Off;-1;-1;-224,9519043;7396,318359
2024-05-23-09:35:18.969;1372;452;496;499;488;501;478;475;513;1372;1372;1372;1372;1372;1372;1372;37,97110928578459;2661,0018631521607;0,12698781490325928;-0,509658813;0,000637718;-1,602159142;0;Off;-1;-1;-207,6784668;7400,885254
2024-05-23-09:35:19.969;1372;452;495;499;487;501;478;475;513;1372;1372;1372;1372;1372;1372;1372;36,37120719449197;2661,0018631521607;0,12234902381896973;-0,485244751;0,000500492;-1,601758003;0;Off;-1;-1;-194,3723755;7396,825684
2024-05-23-09:35:20.969;1372;452;496;499;488;501;479;479;513;1372;1372;1372;1372;1372;1372;1372;34,771210930846024;2661,0018631521607;0,11978548765182495;-0,296028137;0,000232968;-1,599690437;0;Off;-1;-1;-183,9960938;7432,345703
2024-05-23-09:35:21.969;1372;452;496;500;489;502;480;476;513;1372;1372;1372;1372;1372;1372;1372;33,17120269613824;2661,0018631521607;0,11441421508789062;-0,302131653;0,001052033;-1,603768229;0;Off;-1;-1;-172,5211182;8176,240234
2024-05-23-09:35:22.969;1372;452;496;499;489;502;481;477;513;1372;1372;1372;1372;1372;1372;1372;31,57123675918234;2661,0018631521607;0,1095312237739563;-0,289924622;0,001074865;-1,601605892;0;Off;-1;-1;-162,5110474;7394,795898
2024-05-23-09:35:23.969;1372;452;496;500;489;502;482;478;513;1372;1372;1372;1372;1372;1372;1372;29,971193409359728;2661,0018631521607;0,10275614261627197;-0,503555298;0,000500172;-1,597860098;0;Off;-1;-1;-150,4257202;7396,825684
2024-05-23-09:35:24.969;1372;452;496;504;490;503;482;478;513;1372;1372;1372;1372;1372;1372;1372;28,37120433;2661,0018631521607;0,097445905;-0,509658813;0,001031784;-1,599298358;0;Off;-1;-1;-140,7818604;7471,417969
2024-05-23-09:35:25.969;1372;452;496;500;490;503;483;479;512;1372;1372;1372;1372;1372;1372;1372;26,771219237696045;2661,0018406805134;0,094882369;-0,296028137;-0,001259783;-1,600852489;0;Off;-1;-1;-134,2509155;7393,78125
2024-05-23-09:35:26.969;1372;452;496;501;490;504;484;480;513;1372;1372;1372;1372;1372;1372;1372;25,17117508980266;2661,0018631521607;0,089389026;-0,302131653;0,000606363;-1,599087238;0;Off;-1;-1;-126,1940308;8215,3125
2024-05-23-09:35:27.969;1372;452;495;501;491;504;484;480;512;1372;1372;1372;1372;1372;1372;1372;23,571224316191774;2661,0018631521607;0,084261954;-0,314338684;0,000998973;-1,598763466;0;Off;-1;-1;-117,9540405;7420,16748
2024-05-23-09:35:28.969;1372;452;497;501;491;504;484;481;513;1372;1372;1372;1372;1372;1372;1372;21,971212889200814;2661,0018406805134;0,077730954;-0,503555298;-0,001008338;-1,60203445;0;Off;-1;-1;-108,3101807;7396,318359
2024-05-23-09:35:29.969;1372;452;497;502;492;505;485;481;512;1372;1372;1372;1372;1372;1372;1372;20,371123251272337;2661,0018406805134;0,072603881;-0,521865845;-0,001267133;-1,602365494;0;Off;-1;-1;-100,680542;7396,825684
2024-05-23-09:35:30.969;1372;459;498;502;491;505;483;482;512;1372;1372;1372;1372;1372;1372;1372;18,77116609309516;2661,0018631521607;0,06997925;-0,296028137;9,44689E-05;-1,602379203;0;Off;-1;-1;-95,73657227;7413,570801
2024-05-23-09:35:31.969;1372;452;497;502;492;505;486;483;512;1372;1372;1372;1372;1372;1372;1372;17,171252030740675;2661,0018631521607;0,065096319;-0,308235168;0,00090559;-1,598915935;0;Off;-1;-1;-89,63287354;8018,936523
2024-05-23-09:35:32.969;1372;452;498;502;492;505;486;483;511;1372;1372;1372;1372;1372;1372;1372;15,57119192143145;2661,0018631521607;0,060701668;-0,314338684;0,00078308;-1,599110484;0;Off;-1;-1;-83,28503418;7392,258789
